,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
320,400,7,6,1,19887,1224,10490,2037,0.639663978572371
321,400,7,6,2,19835,1228,10542,2033,0.6381947590494621
322,400,7,6,3,19763,1208,10614,2053,0.6400761959009301
323,400,7,6,4,19741,1222,10636,2039,0.6375674990228337
324,400,7,6,5,19961,1245,10416,2016,0.6376621341638088
325,400,7,7,1,19883,1218,10494,2043,0.6405181024875408
326,400,7,7,2,19790,1215,10587,2046,0.6394473206817521
327,400,7,7,3,19862,1223,10515,2038,0.6394058102332281
328,400,7,7,4,19700,1209,10677,2052,0.6388858999414261
329,400,7,7,5,19804,1217,10573,2044,0.639371103783319
330,400,8,2,1,20562,1289,9815,1972,0.6408080901199106
331,400,8,2,2,20502,1284,9875,1977,0.6405871368266052
332,400,8,2,3,20427,1272,9950,1989,0.6411925766113841
333,400,8,2,4,20461,1254,9916,2007,0.6445121001493679
334,400,8,2,5,20354,1264,10023,1997,0.6412176272383325
335,400,8,3,1,20594,1288,9783,1973,0.641488131610573
336,400,8,3,2,20516,1286,9861,1975,0.640510919928172
337,400,8,3,3,20424,1271,9953,1990,0.6412965243469028
338,400,8,3,4,20272,1252,10105,2009,0.6417078482720826
339,400,8,3,5,20356,1255,10021,2006,0.6426304916836916
340,400,8,4,1,20533,1287,9844,1974,0.6406374096947107
341,400,8,4,2,20378,1269,9999,1992,0.6408460269549188
342,400,8,4,3,20273,1259,10104,2002,0.6406510176919409
343,400,8,4,4,20445,1275,9932,1986,0.6410288717990077
344,400,8,4,5,20496,1276,9881,1985,0.6417149954991146
345,400,8,5,1,20533,1280,9844,1981,0.6417107000964282
346,400,8,5,2,20570,1281,9807,1980,0.6421663862944774
347,400,8,5,3,20348,1245,10029,2016,0.6440320851135405
348,400,8,5,4,20162,1242,10215,2019,0.6414305399012271
349,400,8,5,5,20335,1244,10042,2017,0.6439714346333039
350,400,8,6,1,20491,1291,9886,1970,0.639332788387557
351,400,8,6,2,20288,1256,10089,2005,0.6413578966163099
352,400,8,6,3,20362,1257,10015,2004,0.6424225962126542
353,400,8,6,4,20401,1275,9976,1986,0.6403046396496841
354,400,8,6,5,20287,1263,10090,1998,0.6402681463930172
355,400,8,7,1,20449,1279,9928,1982,0.6404814022843285
356,400,8,7,2,20457,1274,9920,1987,0.6413797168581593
357,400,8,7,3,20494,1279,9883,1982,0.6412220942552275
358,400,8,7,4,20276,1249,10101,2012,0.6422336691591207
359,400,8,7,5,20236,1241,10141,2020,0.6428018938980621
360,400,9,2,1,21420,1368,8957,1893,0.6428177682123383
361,400,9,2,2,21210,1346,9167,1915,0.6427344040868733
362,400,9,2,3,21019,1341,9358,1920,0.6403572141671728
363,400,9,2,4,20987,1323,9390,1938,0.6425903894811716
364,400,9,2,5,20957,1320,9420,1941,0.6425565764346416
365,400,9,3,1,21239,1357,9138,1904,0.6415251397098651
366,400,9,3,2,21242,1356,9135,1905,0.6417278463748372
367,400,9,3,3,21127,1352,9250,1909,0.6404482756946319
368,400,9,3,4,21082,1338,9295,1923,0.6418541645271676
369,400,9,3,5,21062,1332,9315,1929,0.6424449312971287
370,400,9,4,1,21250,1366,9127,1895,0.6403262529449882
371,400,9,4,2,21234,1366,9143,1895,0.6400628957997796
372,400,9,4,3,21071,1347,9306,1914,0.6402931616876286
373,400,9,4,4,20840,1308,9537,1953,0.642470703713248
374,400,9,4,5,20944,1321,9433,1940,0.6421892715539144
375,400,9,5,1,21189,1346,9188,1915,0.6423887478337871
376,400,9,5,2,21239,1369,9138,1892,0.6396852133069213
377,400,9,5,3,21050,1329,9327,1932,0.6427073950389582
378,400,9,5,4,21042,1332,9335,1929,0.642115734865618
379,400,9,5,5,20936,1324,9441,1937,0.641597611380574
